Lyrics,Direct Translation,Poetic Translation
Pose un gran foco nel mio petto Amore.,LINK,A fire was set by Love inside my being.
Che m'arse un tempo il cor con viva forza;,http://www2.cpdl.org/wiki/index.php/Pose_un_gran_foco_nel_mio_petto_amore_(Giovanni_Pierluigi_da_Palestrina),My heart was once aflame with great desire.
Ma sdegno giusto ogni gran foco ammorza.,See translation at Choral Public Domain Library.,But righteous scorn can quench the greatest fire.
,,
"Fu l'ardor grave ch'ogni dì cresceva,",,"It grew each day, my grievous passion freeing,"
"Or non mi scalda più, non mi rinforza;",,But warms no more; no more can it inspire.
Che sdegno giusto ogni gran foco ammorza.,,For righteous scorn can quench the greatest fire.
,,
Giovanni Pierluigi da Palestrina,,Carol Anne Perry Lagemann
