Lyrics,Direct Translation,Poetic Translation
Angelica biltà venut’è in terra:,LINK,Angelic beauty's come to make earth more fair.
Dunque ciascun c’ama veder belleçça,http://www1.cpdl.org/wiki/index.php/Angelica_bilt%C3%A0_(Francesco_Landini),So all for whom it's more than just a duty
Virtù atti veçosi e legiadria.,See translation at Choral Public Domain Library.,"To seek for virtue's charm, come and be near it."
"Vengha veder costei che sol vagheça,",,"Come savor only grace, come see her beauty"
Arà di lei si com’à l’alma mia,,Just as was seen and felt by my own spirit.
Ma non credo con pace tanta guerra.,,I don't believe that peace can come from warfare.
Angelica biltà venut’è in terra.,,Angelic beauty's come to make earth more fair.
,,
Francesco Landini,,Carol Anne Perry Lagemann
