Lyrics,Direct Translation,Poetic Translation
Da così dotta man sei stato fatto,See translation at Choral Public Domain Library (LINK: http://www2.cpdl.org/wiki/index.php/Da_cos%C3%AC_dotta_man_(Giovanni_Pierluigi_da_Palestrina)),"By such a skillful hand were you effected,"
Vaghissimo ritratto,,"O portrait, and perfected,"
Che io non saprei ridir se viva sei,,"I wondered if you were a living beauty,"
O se fai dolce inganni agli occhi miei.,,Or if my eyes conspired to delude me.
,,
Giovanni Pierluigi da Palestrina,,Carol Anne Perry Lagemann
