Lyrics,Direct Translation,Poetic Translation
"Laudemus virginem mater est, ",We praise the Virgin Mother,"Praise the Queen Virgin, our Holy One,"
"Et eius filius Iesus est, ","And her son, Jesus;","And the Christ Jesus, Her only Son."
,,
Plangamus scelera acriter ,"We mourn our sins keenly,",Keenly we mourn our sins and disgrace.
Sperantes in Iesum iugiter.,Our hope continually hope in Jesus.,Always in Jesus our hope we place.
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
