Lyrics,Direct Translation,Poetic Translation
Fortuna desperata,LINK,"What fortune: desperation,"
"Iniqua e maledicta,",http://www1.cpdl.org/wiki/index.php/Fortuna_desperata_(Antoine_Busnois),"This evil malediction,"
Che di tal dona electa,See translation at Choral Public Domain Library.,"For her good name thus was blackened,"
La fama ay denegata.,,This woman beyond summation.
,,
Antoine Busnois,,Carol Anne Perry Lagemann
