Lyrics,Direct Translation,Poetic Translation
"Ecco il verno, ecco i venti!",See translation at Choral Public Domain Library (LINK: http://www2.cpdl.org/wiki/index.php/Ecco_il_verno_(Hans_Brachrogge)),"Here comes winter, here come the tempests!"
Tutti Eolo disserra,,"All cold Eolo releases,"
e di neve coperta è omai la terra.,,And already with snow the land is covered.
,,
Hans Brachrogge,,Carol Anne Perry Lagemann
