Lyrics,Direct Translation,Poetic Translation
Alle psallite cum luya.,Alle sing with luia.,Alle now we sing with luya.
Alle concrepando psallite cum luya.,Alle making noise sing with luia.,Alle with the drum and lyre we sing with luya.
Alle cordevoto Deo toto psallite cum luya.,Alle with heart entirely devoted to God sing with luia.,Alle with our hearts to God devoted now we sing with luya.
Alleluya.,Alleluia.,Alleluya.
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
