Lyrics,Direct Translation,Poetic Translation
Andray soulet au mielz que je pouray,"I will go alone as best I can,",I go alone and do the best I may
Jusque a le tamps primier Delasolre,"Until the first D la sol re,",Until I reach the first “D la sol re”;
Lors tu prendras desus Alamire:,"Then, you take the A la mi re above:",Then you sing out above “A la mi re”:
"S'ainsi fera le tierz, canterons gay.","Adding the third part like this, we sing happily.","Gladly we add a third, singing this way."
,,
Matteo da Perugia,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
