Lyrics,Direct Translation,Poetic Translation
"Non moriar sed vivam,",LINK,"I shall not die but live on,"
Et narrabo opera Domini.,http://www2.cpdl.org/wiki/index.php/Non_moriar_sed_vivam_(Martin_Luther),And shall tell what the Lord our God has done.
,See translation at the Choral Public Domain Library.,
"Vulgate, Psalm 117",,Carol Anne Perry Lagemann
