Lyrics,Direct Translation,Poetic Translation
"Or qui son, lasso, et voglio esser altrove;",LINK,"Here I am weary; I wish that I could leave here,"
"et vorrei piú volere, et piú non voglio;",http://www1.cpdl.org/wiki/index.php/Hor_qui_son_lasso_(Orlando_di_Lasso),"And wish to wish for more, and wish it never,"
et per piú non poter fo quant'io posso;,See Anthony S. Kline's work at Choral Public Domain Library.,And do the best I can with hands that falter.
,,
e d'antichi desir' lagrime nove,,"Born from old desire, these fresh tears grieve here."
"provan com'io son pur quel ch'i' mi soglio,",,"I'm what I've always been, the same as ever:"
né per mille rivolte anchor son mosso.,,"A thousand changes, yet I am unaltered."
,,
Petrarch,,Carol Anne Perry Lagemann
