Lyrics,Direct Translation,Poetic Translation
"Magnum nomen domini Emanuel,","Great is the name of the Lord, Emmanuel,","Worthy is the name of our Emmanuel,"
"Quod annuntiatum est per Gabriel,",Which is announced by Gabriel.,Who to us was heralded by Gabriel.
"Hodie apparuit, apparuit in Israel",Today he has appeared; he has appeared in Israel,"And today he has appeared, he has appeared in Israel,"
Per Mariam virginem in Bethlehem.,By the Virgin Mary in Bethlehem.,Of the Virgin Mary born in Bethlehem.
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
