Lyrics,Direct Translation,Poetic Translation
"Jubilate Deo, omnis terra;",LINK,"Shout to God with gladness, all creation;"
servite Domino in lætitia.,http://www2.cpdl.org/wiki/index.php/Jubilate_Deo_(Offertory),and serve the Lord in joy and in happy cheer.
Intrate in conspectu eius,See translation at Choral Public Domain Library.,"Now enter, come into His presence,"
"in exsultatione,",,"in triumph and elation,"
quia Dominus ipse est Deus.,,"for the Lord is God, God the Almighty."
,,
"Vulgate, Psalm 99",,Carol Anne Perry Lagemann
