Lyrics,Direct Translation,Poetic Translation
"Regrets, ennuy, traveil et desplaisance ","Regret, boredom, labor, and displeasure","Regret, ennui, travail, distaste, derision:"
"est le loyer du transi conquerant,",are the price exacted by the icy conqueror;,These dues attend the icy victor's call;
"combien qu'il soit jouyssant requerant, ","even if one is a joyful petitioner,","For even if in joy to Him you fall,"
jouyr d'amour n'est pas ce que l'on pense.,the joy of love is not what one thinks.,The joy of love is not what you envision.
,,
Nicolas Gombert,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
